Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
145.0,7.69944,551.2938584409947,7.69944,-0.036328050379820453
146.0,7.69875,551.3488199069309,7.69875,-0.037023733943924775
147.0,7.69793,551.4037813728671,7.69875,-0.0370294543626466
148.0,7.69922,551.4587428388033,7.69922,-0.03656521164165483
149.0,7.69991,551.5137043047396,7.69974,-0.03605100531956573
150.0,7.69974,551.5686657706758,7.69974,-0.0360568348853203
151.0,7.69693,551.623627236612,7.69843,-0.037372700344698195
152.0,7.69843,551.6785887025482,7.69843,-0.0373786030054033
153.0,7.7005,551.7335501684844,7.70048,-0.03533454287328741
154.0,7.70048,551.7885116344206,7.70048,-0.035340517916859326
155.0,7.69775,551.8434731003568,7.69775,-0.038076528142040544
156.0,7.69758,551.8984345662931,7.69758,-0.038252576267892024
157.0,7.69727,551.9533960322293,7.69758,-0.03825866246933174
158.0,7.69915,552.0083574981655,7.69813,-0.037714786752390594
159.0,7.69813,552.0633189641018,7.69813,-0.03772094857660413
160.0,7.69654,552.118280430038,7.69654,-0.039317147948080056
161.0,7.69648,552.1732418959742,7.69654,-0.03932338645285771
162.0,7.69967,552.2282033619105,7.69967,-0.03619966409711761
163.0,7.70152,552.2831648278466,7.70109,-0.03478597777675674
164.0,7.70109,552.3381262937828,7.70109,-0.0347923260866736
165.0,7.69923,552.393087759719,7.69923,-0.03665870903316115
166.0,7.69772,552.4480492256553,7.69846,-0.03743512847118868
167.0,7.69846,552.5030106915915,7.69815,-0.03775158517232491
168.0,7.69815,552.5579721575277,7.69846,-0.037448079451024796
169.0,7.69981,552.612933623464,7.69949,-0.03642461100566674
170.0,7.69949,552.6678950894002,7.69949,-0.03643117881912605
171.0,7.69925,552.7228565553364,7.69949,-0.03643778289791211
172.0,7.70004,552.7778180212727,7.69925,-0.036684423248570575
173.0,7.69777,552.8327794872089,7.6981,-0.037841100116198234
174.0,7.6981,552.887740953145,7.6981,-0.03784781465022746
175.0,7.69932,552.9427024190812,7.69932,-0.03663456685731159
176.0,7.70048,552.9976638850175,7.70048,-0.03548135553176124
177.0,7.70261,553.0526253509537,7.70048,-0.03548817952742933
178.0,7.70039,553.1075868168899,7.70039,-0.035585038851079887
179.0,7.69971,553.1625482828262,7.69971,-0.03627193359896541
180.0,7.69771,553.2175097487624,7.69771,-0.03827886445374862
181.0,7.69639,553.2724712146986,7.69766,-0.038335833409795406
182.0,7.69766,553.3274326806348,7.6973,-0.03870284052369222
183.0,7.6973,553.3823941465711,7.69766,-0.0383498861600895
184.0,7.70015,553.4373556125073,7.69999,-0.036026969968260936
185.0,7.69999,553.4923170784434,7.70015,-0.035874089639778006
186.0,7.70084,553.5472785443797,7.70084,-0.035191245022679674
187.0,7.70088,553.6022400103159,7.70088,-0.035158435438269464
188.0,7.7026,553.6572014762521,7.7026,-0.03344566085391509
189.0,7.70275,553.7121629421883,7.70275,-0.03330291956708997
190.0,7.70343,553.7671244081246,7.70275,-0.033310211435874315
191.0,7.70275,553.8220858740608,7.70338,-0.03268753646749989
192.0,7.70338,553.877047339997,7.70275,-0.03332489404293426
193.0,7.70168,553.9320088059333,7.70168,-0.034402284795768345
194.0,7.70134,553.9869702718695,7.70168,-0.03440970979695823
195.0,7.70178,554.0419317378057,7.70171,-0.034387169053863076
196.0,7.70171,554.096893203742,7.70171,-0.034394662544061205
197.0,7.70153,554.1518546696781,7.70153,-0.03458219027498011
198.0,7.70135,554.2068161356143,7.70135,-0.03476975243300018
199.0,7.69873,554.2617776015505,7.69873,-0.037397349204531416
200.0,7.69858,554.3167390674868,7.69873,-0.03740498320097352
201.0,7.70025,554.371700533423,7.69968,-0.03646265442989183
202.0,7.69968,554.4266619993592,7.70025,-0.035900361954809945
203.0,7.70072,554.4816234652955,7.70072,-0.035438105216879734
204.0,7.70096,554.5365849312317,7.70096,-0.0352058837566549
205.0,7.70216,554.5915463971679,7.70216,-0.03401369734330917
206.0,7.70302,554.6465078631041,7.70302,-0.033161544791822095
207.0,7.70328,554.7014693290404,7.70302,-0.03316942525508093
208.0,7.70101,554.7564307949765,7.70101,-0.035187338740899854
209.0,7.69945,554.8113922609127,7.70101,-0.03519528725508003
210.0,7.70179,554.866353726849,7.70179,-0.03442327080549923
211.0,7.70269,554.9213151927852,7.70269,-0.03353128862479249
212.0,7.70554,554.9762766587214,7.70303,-0.0331993398262842
213.0,7.70303,555.0312381246576,7.70353,-0.03270742407997407
214.0,7.70353,555.0861995905939,7.70303,-0.03321554089682088
215.0,7.70081,555.1411610565301,7.70335,-0.032903690781927786
216.0,7.70335,555.1961225224663,7.70085,-0.03541187342526442
217.0,7.70085,555.2510839884026,7.70095,-0.03532009131995295
218.0,7.70095,555.3060454543388,7.70085,-0.03542834437474962
219.0,7.69822,555.3610069202749,7.69878,-0.037506632697223985
220.0,7.69878,555.4159683862111,7.69878,-0.03751495835275165
221.0,7.70114,555.4709298521474,7.70114,-0.035163321349581445
222.0,7.70279,555.5258913180836,7.70165,-0.03466171935061357
223.0,7.70165,555.5808527840198,7.70274,-0.033580151857267815
224.0,7.70274,555.6358142499561,7.70268,-0.033648617794441726
225.0,7.70268,555.6907757158923,7.70274,-0.03359711723016989
226.0,7.70319,555.7457371818285,7.70319,-0.033155650113236845
227.0,7.70524,555.8006986477648,7.70524,-0.03111421600477371
228.0,7.71236,555.855660113701,7.71236,-0.024002812875211887
229.0,7.72848,555.9106215796372,7.72848,-0.007891433651650459
230.0,7.75108,555.9655830455733,7.75108,0.01469993770665301
231.0,7.77213,556.0205445115096,7.77213,0.03574132373091121
232.0,7.78312,556.0755059774458,7.78312,0.0467227454473651
233.0,7.78471,556.130467443382,7.78471,0.048304213845195676
234.0,7.78566,556.1854289093183,7.78471,0.04829573050784752
235.0,7.7841,556.2403903752545,7.7841,0.047677295426792554
236.0,7.78361,556.2953518411907,7.78361,0.04717890798275359
237.0,7.78313,556.350313307127,7.78313,0.04669056767668067
238.0,7.7804,556.4052747730632,7.7804,0.04395227401960966
239.0,7.77155,556.4602362389994,7.77155,0.03509402427028352
240.0,7.74952,556.5151977049356,7.74952,0.01305580956553598
