Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
217.0,0.788476,557.5957377509492,0.788476,-0.0034924859020429855
218.0,0.787899,557.6506425485431,0.787899,-0.004070512312538743
219.0,0.784299,557.7055473461371,0.787009,-0.004961542773374017
220.0,0.787009,557.7604521437312,0.787009,-0.00496257816914214
221.0,0.787771,557.8153569413251,0.787009,-0.0049636185008671285
222.0,0.786094,557.8702617389191,0.786876,-0.005097663769578209
223.0,0.786876,557.9251665365132,0.786876,-0.0050987141082861065
224.0,0.787371,557.9800713341072,0.787371,-0.004604769518029572
225.0,0.789054,558.0349761317012,0.787786,-0.004190829508580296
226.0,0.787786,558.0898809292952,0.787786,-0.004191893668941349
227.0,0.787367,558.1447857268892,0.787367,-0.0046119620001665584
228.0,0.786038,558.1996905244832,0.787367,-0.004613034919329517
229.0,0.788804,558.2545953220772,0.788697,-0.0032841124274921585
230.0,0.788697,558.3095001196713,0.788697,-0.003285193204646153
231.0,0.787854,558.3644049172652,0.788148,-0.0038352772518635003
232.0,0.788148,558.4193097148592,0.788148,-0.0038363651157287126
233.0,0.788156,558.4742145124533,0.788148,-0.003837456797319949
234.0,0.788083,558.5291193100472,0.788156,-0.003830552297718892
235.0,0.788979,558.5840241076412,0.788083,-0.003904651610063925
236.0,0.787023,558.6389289052353,0.787023,-0.004965754807959466
237.0,0.78613,558.6938337028292,0.787023,-0.004966862944909334
238.0,0.791008,558.7487385004233,0.788458,-0.0035329760220095263
239.0,0.788458,558.8036432980173,0.788458,-0.003534092615394835
240.0,0.78595,558.8585480956112,0.787292,-0.004701212726172188
241.0,0.787292,558.9134528932053,0.787292,-0.004702337513438071
242.0,0.789096,558.9683576907993,0.787292,-0.004703466978305371
243.0,0.786922,559.0232624883934,0.786922,-0.005074601121891731
244.0,0.786843,559.0781672859873,0.786922,-0.005075740312515342
245.0,0.78918,559.1330720835813,0.788934,-0.0030648845513027156
246.0,0.788934,559.1879768811754,0.78918,-0.0028200318411344405
247.0,0.790453,559.2428816787693,0.788934,-0.0030671819385768018
248.0,0.787464,559.2977864763634,0.790453,-0.0015493350893429625
249.0,0.803778,559.3526912739574,0.787464,-0.004539489783517148
250.0,0.786266,559.4075960715513,0.789259,-0.00274564899361196
251.0,0.789259,559.4625008691454,0.787344,-0.004661810937347299
252.0,0.787344,559.5174056667394,0.787348,-0.004658977518421925
253.0,0.787348,559.5723104643333,0.787348,-0.0046601487340199865
254.0,0.789123,559.6272152619274,0.787348,-0.004661324585300108
255.0,0.786637,559.6821200595214,0.787421,-0.004589505073426037
256.0,0.787421,559.7370248571154,0.787421,-0.004590690127102337
257.0,0.789751,559.7919296547094,0.787421,-0.004591879747501859
258.0,0.785568,559.8468344523034,0.78635,-0.005664073935801817
259.0,0.78635,559.9017392498974,0.78635,-0.005665273755821598
260.0,0.78785,559.9566440474914,0.78785,-0.004166479208746687
261.0,0.78958,560.0115488450854,0.78785,-0.004167688807192316
262.0,0.784956,560.0664536426794,0.789177,-0.00284190255235639
263.0,0.789177,560.1213584402734,0.785232,-0.006788119126841852
264.0,0.785232,560.1762632378675,0.787272,-0.004749342447164739
265.0,0.787272,560.2311680354615,0.786708,-0.005314570491660842
266.0,0.786708,560.2860728330554,0.787272,-0.00475180382118745
267.0,0.792318,560.3409776306495,0.791407,-0.000618041877322395
268.0,0.791407,560.3958824282435,0.791407,-0.0006192805493888676
